ISO3,total_funding,Country,Population,Reference_year,funding_per_capita
UKR,1246243121.0,,,,
SDN,691812475.0,Sudan,47514529.0,2024.0,14.56001963104801
COL,603952975.0,Colombia,53216592.0,2025.0,11.348960019837422
GUY,565714351.0,Guyana,756237.0,2021.0,748.0648936775111
PER,565714351.0,Peru,34038457.0,2024.0,16.619858855529202
PRY,565714351.0,Paraguay,7552654.0,2023.0,74.9027230692681
ECU,565714351.0,Ecuador,17510643.0,2020.0,32.30688621771342
DOM,565714351.0,Dominican Republic,750548.0,2023.0,753.7350722405496
CUW,565714351.0,Curaçao,191155.0,2022.0,2959.4535900185715
CRI,565714351.0,Costa Rica,5163021.0,2021.0,109.57041449182562
ABW,565714351.0,Aruba,106435.0,2022.0,5315.11580777
MEX,565714351.0,Mexico,132274416.0,2024.0,4.276823652731152
CHL,565714351.0,Chile,19828563.0,2022.0,28.53027478592372
TTO,565714351.0,Trinidad and Tobago,1328022.0,2011.0,425.9826651968115
BRA,565714351.0,Brazil,203080756.0,2022.0,2.7856620299365047
BOL,565714351.0,Bolivia (Plurinational State of),12006031.0,2022.0,47.11918126814765
URY,565714351.0,Uruguay,3566539.0,2023.0,158.61717788590002
ARG,565714351.0,Argentina,45808747.0,2021.0,12.349483189313167
PAN,565714351.0,Panama,4064445.0,2023.0,139.1861252889386
PSE,390405616.0,State of Palestine,5483450.0,2023.0,71.19707775214509
SYR,340567043.0,,,,
YEM,312546097.0,,,,
AFG,300652953.0,Afghanistan,40411869.0,2021.0,7.439719083519745
COD,252234671.0,Democratic Republic of the Congo,103199358.0,2020.0,2.4441496137989542
SOM,231704412.0,Somalia,12327528.0,2014.0,18.795691398956873
SSD,209001069.0,South Sudan,12394970.0,2022.0,16.86176481266191
MMR,127914282.0,,,,
TCD,121804661.0,Chad,18033749.0,2023.0,6.754261745574921
JOR,97346974.0,,,,
TUR,97346974.0,Türkiye,85279553.0,2022.0,1.1415042712524537
LBN,97346974.0,,,,
BFA,96845924.0,Burkina Faso,23558491.0,2024.0,4.1108712777910945
NER,94262945.0,Niger,26367847.0,2024.0,3.5749200531996412
MLI,92411462.0,Mali,17907114.0,2018.0,5.1606005300463265
NGA,84240946.0,Nigeria,216798930.0,2022.0,0.3885671668213492
VEN,77751545.0,Venezuela (Bolivarian Republic of),27225775.0,2011.0,2.8558064921935187
HTI,60872540.0,Haiti,11899555.0,2024.0,5.1155307908573056
CAF,54211633.0,,,,
MOZ,43297120.0,Mozambique,35163992.0,2025.0,1.231291373288903
CMR,38536963.0,Cameroon,29442318.0,2025.0,1.3088970440438827
ETH,38284104.0,Ethiopia,102536651.0,2022.0,0.3733699474932139
KEN,37034104.0,Kenya,47562772.0,2019.0,0.7786363671150202
TZA,35300000.0,United Republic of Tanzania,58552845.0,2020.0,0.6028742070517666
DJI,35300000.0,Djibouti,818159.0,2009.0,43.145647728619984
BGD,31506414.0,Bangladesh,165650475.0,2022.0,0.19019815065426163
PAK,8977477.0,Pakistan,207774520.0,2017.0,0.04320778601726526
LKA,7666493.0,Sri Lanka,22037001.0,2023.0,0.3478918478970891
UGA,2984104.0,Uganda,46210758.0,2022.0,0.06457595869775605
VNM,2844898.0,Vietnam,100768914.0,2024.0,0.028231900961044394
EGY,1250000.0,,,,
LBY,1250000.0,,,,
