country,country_iso3,people_in_need,people_targeted,requirements,funding,year
Afghanistan,AFG,37076810,29228181,3840385894,1449771193,2023
Afghanistan,AFG,30948454,24610060,3679972431,1426454332,2024
Afghanistan,AFG,29807327,23710013,3038821810,986444473,2025
Afghanistan,AFG,22000000,17600000,1710000000,,2026
Bangladesh,BGD,2720258,1223513,98699293,27213669,2024
Bangladesh,BGD,1838513,942413,35614832,15369535,2025
Burkina Faso,BFA,4648210,3124881,876731475,297833456,2023
Burkina Faso,BFA,6293939,3848843,934604385,390950231,2024
Burkina Faso,BFA,5915136,3672506,792565236,262335687,2025
Burkina Faso,BFA,4400000,3100000,662000000,,2026
Burundi,BDI,2666886,1603885,237180119,60799596,2023
Burundi,BDI,614874,306000,26031040,17135050,2024
Cameroon,CMR,4700311,2702139,407309869,115090720,2023
Cameroon,CMR,3369526,2302441,371369724,146740903,2024
Cameroon,CMR,3322058,2100146,359298328,80851670,2025
Cameroon,CMR,2900000,1800000,308000000,,2026
Central African Republic,CAF,3426462,2435685,533305798,251524276,2023
Central African Republic,CAF,2801810,1945532,367670976,208081586,2024
Central African Republic,CAF,2440338,1772631,326056578,120383284,2025
Central African Republic,CAF,2300000,1300000,264200000,,2026
Chad,TCD,7586460,5159500,920624766,278432207,2023
Chad,TCD,6009715,4588817,1124572823,602991043,2024
Chad,TCD,7049226,5475571,1454258243,414108787,2025
Chad,TCD,4000000,2900000,975000000,,2026
Colombia,COL,7711265,1565722,283317893,105684451,2023
Colombia,COL,8307129,1726262,331990687,185691198,2024
Colombia,COL,9053352,1991880,342308343,83953969,2025
Colombia,COL,6900000,2600000,384000000,,2026
Democratic Republic of the Congo,COD,27934509,11531951,2857732610,1001780544,2023
Democratic Republic of the Congo,COD,27347778,10652067,3248905089,1530749522,2024
Democratic Republic of the Congo,COD,23363465,13110147,3319341336,801812998,2025
Democratic Republic of the Congo,COD,14900000,7300000,1400000000,,2026
El Salvador,SLV,1115122,496568,98416155,23954746,2023
El Salvador,SLV,1119198,506214,86585525,23516010,2024
El Salvador,SLV,818700,407500,66923449,18097513,2025
Ethiopia,ETH,28600000,20100000,3994813508,1275223141,2023
Ethiopia,ETH,21360484,15467955,3235782784,795299944,2024
Grenada,GRD,34000,40644,7820962,2651983,2024
Guatemala,GTM,5000000,2300000,126145348,30596733,2023
Guatemala,GTM,5300000,2500000,125401425,64233222,2024
Guatemala,GTM,2163953,1000000,100563396,23222509,2025
Haiti,HTI,5200000,3150353,719857713,236306025,2023
Haiti,HTI,5500000,3600000,673767352,286265103,2024
Haiti,HTI,5986456,3941924,908159989,219268248,2025
Haiti,HTI,6400000,4200000,893000000,,2026
Honduras,HND,3200000,2100000,280360869,42622463,2023
Honduras,HND,2800000,1300000,203159869,60620704,2024
Honduras,HND,1640224,796974,138491372,16293021,2025
Horn of Africa and Yemen,,1428234,1045832,84152177,56952690,2023
Horn of Africa to Yemen and Southern Africa,,2173087,1386730,112178686,25384364,2024
Horn of Africa to Yemen and Southern Africa,,1255372,858966,61287055,15722412,2025
Kenya,KEN,6446835,4261435,451825224,344937435,2023
Lebanon,,3909222,1258700,200203540,57382093,2023
Lebanon,,1000000,1000000,425745000,255645269,2024
Lebanon,,0,1000000,371357000,260091386,2025
Libya,,883937,250000,71355926,38187139,2023
Libya,,250000,250000,33667840,43803326,2024
Madagascar,MDG,3897188,1948148,214681354,110079672,2023
